"person_id","name","ocupation","number_of_movies","total_box_office"
nm0000418,Danny Glover,actor,11,737756416
nm0000420,Valeria Golino,actress,2,187947760
nm0000421,Cuba Gooding Jr.,actor,7,431242016
nm0000422,John Goodman,actor,19,1175081856
nm0000424,Hugh Grant,actor,12,1361167232
nm0000426,Jennifer Grey,actress,1,63446384
nm0000427,Pam Grier,actress,2,32880464
nm0000429,Melanie Griffith,actress,6,93592344
nm0000430,Steve Guttenberg,actor,10,465758336
nm0000431,Taylor Hackford,director,6,289173408
nm0000431,Taylor Hackford,producer,1,54215416
nm0000432,Gene Hackman,actor,18,622991680
nm0000433,Corey Haim,actor,7,112577848
nm0000434,Mark Hamill,actor,1,1332539904
nm0000435,Daryl Hannah,actress,6,161165856
nm0000436,Curtis Hanson,director,4,301568096
nm0000437,Woody Harrelson,actor,15,2944692736
nm0000438,Ed Harris,actor,14,690037184
nm0000439,Neil Patrick Harris,actor,5,1017962816
nm0000441,Noah Hathaway,actor,1,5450815.0
nm0000442,Rutger Hauer,actor,1,5844868.0
nm0000443,Goldie Hawn,actress,5,172417392
nm0000444,Glenne Headly,actress,3,126194024
nm0000445,Dan Hedaya,actor,2,19368732
nm0000446,Mariel Hemingway,actress,1,4594452.0
nm0000447,Marilu Henner,actress,1,6090497.0
nm0000448,Lance Henriksen,actor,3,37616980
nm0000449,Natasha Henstridge,actress,3,93606800
nm0000450,Philip Seymour Hoffman,actor,7,838989056
nm0000451,Gaby Hoffmann,actress,2,119260080
nm0000452,Lauren Holly,actress,2,26279414
nm0000453,Ian Holm,actor,3,38688048
nm0000454,Dennis Hopper,actor,7,181261840
nm0000454,Dennis Hopper,director,1,46616068
nm0000455,John Hughes,director,5,226867232
nm0000456,Holly Hunter,actress,10,2110167680
nm0000457,John Hurt,actor,5,278763008
nm0000458,William Hurt,actor,8,456838048
nm0000459,Timothy Hutton,actor,6,210621328
nm0000460,Jeremy Irons,actor,8,595263104
nm0000461,Michael Ironside,actor,2,12248017
nm0000462,Kate Jackson,actress,1,3960327.0
nm0000463,Famke Janssen,actress,5,582031808
nm0000464,Jim Jarmusch,director,2,48765628
nm0000466,Jean-Pierre Jeunet,director,2,71205856
nm0000467,Don Johnson,actor,2,11916085
nm0000469,James Earl Jones,actor,7,185136336
nm0000470,Jeffrey Jones,actor,4,106530000
nm0000471,Raul Julia,actor,4,79200304
nm0000473,Diane Keaton,actress,10,718319616
nm0000474,Michael Keaton,actor,15,3110205696
nm0000475,Patsy Kensit,actress,2,148184192
nm0000476,Sally Kirkland,actress,1,1700000.0
nm0000478,Tawny Kitaen,actress,1,7369373.0
nm0000480,Elias Koteas,actor,4,101042912
nm0000481,Alice Krige,actress,3,30320932
nm0000483,Christopher Lambert,actor,6,104604896
nm0000484,John Landis,director,4,228036704
nm0000486,Heather Langenkamp,actress,3,81069664
nm0000487,Ang Lee,director,7,1346614272
nm0000489,Christopher Lee,actor,2,225922304
nm0000490,Spike Lee,actor,1,7137502.0
nm0000490,Spike Lee,director,5,243630032
nm0000491,John Leguizamo,actor,8,2511269376
nm0000492,Jennifer Jason Leigh,actress,4,230633376
nm0000493,Jack Lemmon,actor,3,97701440
nm0000494,Robert Sean Leonard,actor,1,174997856
nm0000495,Téa Leoni,actress,2,139314816
nm0000496,Juliette Lewis,actress,5,287654880
nm0000498,Matthew Lillard,actor,4,225802656
nm0000499,Bai Ling,actress,1,65497208
nm0000500,Richard Linklater,director,2,136631024
nm0000501,Ray Liotta,actor,6,542492800
nm0000502,Christopher Lloyd,actor,6,531216192
nm0000503,Emily Lloyd,actress,3,8685220.0
nm0000504,Amy Locane,actress,1,8266343.0
nm0000505,Nia Long,actress,5,345605120
nm0000506,Julia Louis-Dreyfus,actress,3,176128128
nm0000507,Rob Lowe,actor,6,182983456
nm0000508,Carey Lowell,actress,2,37057540
nm0000510,Andie MacDowell,actress,1,24742088
nm0000511,Shirley MacLaine,actress,2,87307328
nm0000513,William H. Macy,actor,4,408520896
nm0000514,Michael Madsen,actor,1,30077112
nm0000515,Virginia Madsen,actress,8,227481664
nm0000517,Terrence Malick,director,1,58409248
nm0000518,John Malkovich,actor,11,793081664
nm0000518,John Malkovich,producer,2,265756816
nm0000519,David Mamet,director,3,10071459
nm0000520,Michael Mann,director,5,514246848
nm0000520,Michael Mann,producer,2,300739104
nm0000521,Sophie Marceau,actress,3,217922528
nm0000523,Julianna Margulies,actress,3,480194656
